FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,MARITAL_STATUS,Stato civile,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,061003,Alvignano,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2024,2271,,
A,Annuale,061003,Alvignano,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2025,2257,e,Dato stimato
A,Annuale,061003,Alvignano,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2023,4512,,
A,Annuale,061003,Alvignano,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2024,4450,,
A,Annuale,061003,Alvignano,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2025,4439,e,Dato stimato
A,Annuale,061004,Arienzo,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2023,2620,,
A,Annuale,061004,Arienzo,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2024,2650,,
A,Annuale,061004,Arienzo,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2025,2670,e,Dato stimato
A,Annuale,061004,Arienzo,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2023,2704,,
A,Annuale,061004,Arienzo,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2024,2712,,
A,Annuale,061004,Arienzo,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2025,2703,e,Dato stimato
A,Annuale,061004,Arienzo,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2023,5324,,
A,Annuale,061004,Arienzo,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2024,5362,,
A,Annuale,061004,Arienzo,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2025,5373,e,Dato stimato
A,Annuale,061005,Aversa,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2023,23902,,
A,Annuale,061005,Aversa,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2024,23783,,
A,Annuale,061005,Aversa,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2025,23703,e,Dato stimato
A,Annuale,061005,Aversa,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2023,25913,,
A,Annuale,061005,Aversa,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2024,25761,,
A,Annuale,061005,Aversa,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2025,25592,e,Dato stimato
A,Annuale,061005,Aversa,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2023,49815,,
A,Annuale,061005,Aversa,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2024,49544,,
A,Annuale,061005,Aversa,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2025,49295,e,Dato stimato
A,Annuale,061006,Baia e Latina,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2023,995,,
A,Annuale,061006,Baia e Latina,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2024,1000,,
A,Annuale,061006,Baia e Latina,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2025,976,e,Dato stimato
A,Annuale,061006,Baia e Latina,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2023,1021,,
A,Annuale,061006,Baia e Latina,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2024,1014,,
A,Annuale,061006,Baia e Latina,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2025,999,e,Dato stimato
A,Annuale,061006,Baia e Latina,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2023,2016,,
A,Annuale,061006,Baia e Latina,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2024,2014,,
A,Annuale,061006,Baia e Latina,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2025,1975,e,Dato stimato
A,Annuale,061007,Bellona,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2023,2923,,
A,Annuale,061007,Bellona,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2024,2925,,
A,Annuale,061007,Bellona,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2025,2959,e,Dato stimato
A,Annuale,061007,Bellona,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2023,3067,,
A,Annuale,061007,Bellona,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2024,3073,,
A,Annuale,061007,Bellona,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2025,3063,e,Dato stimato
A,Annuale,061007,Bellona,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2023,5990,,
A,Annuale,061007,Bellona,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2024,5998,,
A,Annuale,061007,Bellona,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2025,6022,e,Dato stimato
A,Annuale,061008,Caianello,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2023,866,,
A,Annuale,061008,Caianello,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2024,875,,
A,Annuale,061008,Caianello,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2025,969,e,Dato stimato
A,Annuale,061008,Caianello,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2023,888,,
A,Annuale,061008,Caianello,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2024,881,,
A,Annuale,061008,Caianello,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2025,867,e,Dato stimato
A,Annuale,061008,Caianello,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2023,1754,,
A,Annuale,061008,Caianello,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2024,1756,,
A,Annuale,061008,Caianello,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2025,1836,e,Dato stimato
A,Annuale,061009,Caiazzo,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2023,2550,,
A,Annuale,061009,Caiazzo,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2024,2501,,
A,Annuale,061009,Caiazzo,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2025,2476,e,Dato stimato
A,Annuale,061009,Caiazzo,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2023,2661,,
A,Annuale,061009,Caiazzo,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2024,2626,,
A,Annuale,061009,Caiazzo,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2025,2592,e,Dato stimato
A,Annuale,061009,Caiazzo,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2023,5211,,
A,Annuale,061009,Caiazzo,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2024,5127,,
A,Annuale,061009,Caiazzo,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2025,5068,e,Dato stimato
A,Annuale,061010,Calvi Risorta,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2023,2631,,
A,Annuale,061010,Calvi Risorta,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2024,2578,,
A,Annuale,061010,Calvi Risorta,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2025,2612,e,Dato stimato
A,Annuale,061010,Calvi Risorta,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2023,2847,,
A,Annuale,061010,Calvi Risorta,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2024,2801,,
A,Annuale,061010,Calvi Risorta,JAN,Popolazione al 1º gennaio,2,Femmine,TOTAL,Totale,99,Totale,2025,2793,e,Dato stimato
A,Annuale,061010,Calvi Risorta,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2023,5478,,
A,Annuale,061010,Calvi Risorta,JAN,Popolazione al 1º gennaio,9,Totale,TOTAL,Totale,99,Totale,2024,5379,,
